Date,Open,High,Low,Close,Volume
2010-01-04,2.7630930021747875,2.923916664786972,2.7374291283531917,2.9085192680358887,26135407
2010-01-05,2.8323845451085905,3.0197272568997535,2.8323845451085905,2.99149751663208,29141407
2010-01-06,2.957278770689098,2.9940632596094825,2.8828548413717243,2.891409397125244,13245814
2010-01-07,2.8743006351807354,3.0197269010418366,2.858903238429652,2.9085192680358887,26181192
2010-01-08,2.908519350077441,2.958990332747886,2.855481496017541,2.8982536792755127,12922456
2010-01-11,2.900820207386863,3.0453905405764927,2.8631805510592394,3.0197274684906006,30046398
2010-01-12,3.063354729372542,3.321700589492818,3.0624997775943936,3.2678067684173584,64470756
2010-01-13,3.177128768011187,3.5056209309640773,3.120669700506182,3.3020238876342773,72938454
2010-01-14,3.327688315951891,3.408955914573739,3.246420515690482,3.3396646976470947,27338920
2010-01-15,3.306301344962472,3.461137508853617,3.2943249657156635,3.3447959423065186,20680185
2010-01-18,3.33709727773178,3.669866195855061,3.293469745670753,3.592020034790039,31185659
2010-01-19,3.5749117222776774,3.630515834885399,3.426919610210077,3.49877667427063,24025094
2010-01-20,3.4996325859506423,3.4996325859506423,3.1488991449422077,3.1985151767730713,32169197
2010-01-21,3.190816094963052,3.2660951885485883,3.062499151127514,3.231877565383911,17770558
2010-01-22,3.165153556560069,3.182262068535696,3.0034739142055082,3.071054220199585,18974032
2010-01-25,3.0453895672843205,3.1309343234017146,3.0214374146537315,3.0881619453430176,10411631
2010-01-26,3.0693436220272643,3.118959662809668,2.8238302900104917,2.8956875801086426,14344421
2010-01-27,2.899965248378812,3.04111396907094,2.841794646547353,2.968400716781616,25887226
2010-01-28,2.9179288144365474,3.036836046501722,2.912795878649572,3.024859666824341,16693572
2010-01-29,3.019727088751687,3.1651533636526596,2.974388839123025,3.0958621501922607,22024591
2010-02-01,3.0967174669652064,3.1121158746865163,2.9855098139359284,3.0796091556549072,13668046
2010-02-02,3.0967166839373377,3.1223807575300273,2.981231276543321,2.99406361579895,18750607
2010-02-03,2.995775138156447,3.0094618268632884,2.7725030764657723,2.8931212425231934,16263173
2010-02-04,2.893120993787863,2.978665765034508,2.84008313882796,2.9256277084350586,10378452
2010-02-05,2.865746729515188,2.885421907999121,2.7887559187681874,2.874300479888916,10983674
2010-02-08,2.8743009766845233,2.8802896716707154,2.814420277649021,2.8725900650024414,5768535
2010-02-09,2.840083347961567,2.906808701923207,2.840083347961567,2.8725900650024414,4399650
2010-02-10,2.908519291713969,3.0967169346005075,2.882855417683445,3.054800510406494,16043060
2010-02-11,3.054801216163789,3.058223039939805,2.972678453737338,2.9778103828430176,7705083
2010-02-12,2.959845354367419,3.044534967090359,2.934182287521848,3.011172294616699,6179892
2010-02-22,3.011172515124768,3.1788400348398516,2.994064004281066,3.134356737136841,14486727
2010-02-23,3.1343566339301603,3.261818634784683,3.1027056781899733,3.233588695526123,12387418
2010-02-24,3.199370939772715,3.307156748021109,3.173706864740153,3.2823486328125,12557792
2010-02-25,3.2669511037973056,3.3345313976017925,3.190816051449137,3.2412872314453125,14264519
2010-02-26,3.2506983689637274,3.2506983689637274,3.1848289739601996,3.189105749130249,10743214
2010-03-01,3.189961841112241,3.2207576482046756,3.1651537211452645,3.203648328781128,9889920
2010-03-02,3.207925897677194,3.316567679318336,3.175418374423214,3.314856767654419,14412154
2010-03-03,3.3105784033129444,3.314856185820786,3.1968039066500973,3.212202310562134,19430541
2010-03-04,3.2122025891105754,3.2310226157423045,3.043679115838019,3.0573666095733643,13814357
2010-03-05,3.0462457959126525,3.1309345997802915,3.035125174242456,3.1146812438964844,8384315
2010-03-08,3.1146814416671207,3.2147684545307436,3.112115376856673,3.2053587436676025,11504682
2010-03-09,3.2062147612353913,3.2062147612353913,3.068487289323754,3.0761868953704834,16347307
2010-03-10,3.07704164181304,3.1249467585699664,2.9906419252622296,3.012028217315674,14209263
2010-03-11,3.0188715116971836,3.0445353886544626,2.9786659944107923,3.016305446624756,4864375
2010-03-12,3.0180161276099073,3.027425838714431,2.9110852643110063,2.9863643646240234,15889009
2010-03-15,2.9341821274633797,2.9666888383395023,2.8999643035901177,2.9136509895324707,7503289
2010-03-16,2.9256279591440633,2.951292037963867,2.893976395103244,2.951292037963867,5965919
2010-03-17,3.0624990110359467,3.2070693041384892,3.0522335430805527,3.1591641902923584,32864505
2010-03-18,3.127512956789732,3.185683544609488,3.1061266638231655,3.119814157485962,18045166
2010-03-19,3.123235956781395,3.205358700099783,3.115537157536071,3.1480438709259033,20027804
2010-03-22,3.15488762867034,3.203647697366346,3.127512843971771,3.1908161640167236,14146266
2010-03-23,3.197660462019521,3.2036481488086066,3.1309351080500485,3.161731719970703,8932867
2010-03-24,3.1506097048839434,3.349073810058442,3.1309345266506186,3.305445671081543,36398098
2010-03-25,3.3336753109951442,3.3909903359738314,3.2729388666640027,3.2840592861175537,24784318
2010-03-26,3.2601082124472227,3.3362430807684342,3.242143739612469,3.316567897796631,13175333
2010-03-29,3.3234101598611785,3.335386741852428,3.163442255446568,3.2164793014526367,22704248
2010-03-30,3.2207572658691186,3.2849157442042745,3.20193703690132,3.2190463542938232,12537970
2010-03-31,3.221611767916709,3.3182779559698514,3.221611767916709,3.3045904636383057,18493756
2010-04-01,3.301168427533368,3.5158860724463383,3.299457516307481,3.4560043811798096,37558388
2010-04-02,3.4303419367338437,3.4970664783866923,3.4046780620748485,3.4346187114715576,20046599
2010-04-06,3.4773910268157513,3.6176845518693814,3.4388956211106003,3.4722580909729004,21860376
2010-04-07,3.4388959407806396,3.5637910731946736,3.404678112856758,3.4388959407806396,17356215
2010-04-08,3.4406062078066335,3.5586584853418937,3.4226421428363767,3.5158863067626953,20462702
2010-04-09,3.507331514692165,3.60827387129943,3.4902224014576055,3.5860326290130615,17290697
2010-04-12,3.625384122400416,3.6339388833422204,3.545827224988711,3.6142632961273193,15236203
2010-04-13,3.5928766884891767,3.74685670895564,3.2532638770455846,3.3815808296203613,33751294
2010-04-14,3.430342081399209,3.464559910255765,3.3028800740718576,3.3559179306030273,14797490
2010-04-15,3.456004911034114,3.6561793371178397,3.4517281364124774,3.479956865310669,46305281
2010-04-16,3.4217872493123935,3.7434349950688106,3.405533891851244,3.663878917694092,37095018
2010-04-19,3.6270938829370136,3.809303831150572,3.6014308166684734,3.6279492378234863,28396114
2010-04-20,3.67842182221386,3.9906594753265385,3.67842182221386,3.990659475326538,46084159
2010-04-21,4.021454420723017,4.260123816345286,4.021454420723017,4.161747932434082,45190697
2010-04-22,4.148917751531893,4.578351974487305,4.063372968316162,4.578351974487305,49561044
2010-04-23,4.694690311159765,4.773392219347005,4.438912234963287,4.550975799560547,38210462
2010-04-26,4.5253135338759725,4.704102490967864,4.429504094418801,4.59375,28078569
2010-04-27,4.550976085642188,4.550976085642188,4.134373554624754,4.277233123779297,40737837
2010-04-28,4.19168891611706,4.2746676138004425,4.065082684059727,4.176290512084961,28686391
2010-04-29,4.145494824093806,4.275522888738788,3.943609686019575,4.041985988616943,29282636
2010-04-30,4.020599633226031,4.1386511138554365,3.9222237354340908,4.117265224456787,19412508
2010-05-04,4.021454954371796,4.251570832536128,3.9803934824805385,4.181423664093018,14696568
2010-05-05,4.138650990263226,4.405550753467098,4.1061442780363935,4.3619232177734375,33867599
2010-05-06,4.361923496209836,4.3627784478799345,4.05481759728704,4.061661243438721,29048346
2010-05-07,4.061661243438721,4.061661243438721,4.061661243438721,4.061661243438721,0
