Date,Open,High,Low,Close,Volume
2010-01-04,4.54853467743333,4.572004570340672,4.506288265859771,4.515676021575928,122715373
2010-01-05,4.576698692451225,4.64241499320794,4.520370146878656,4.609556674957275,185279353
2010-01-06,4.586086339672929,4.623638702503944,4.529757795426407,4.543839931488037,129107455
2010-01-07,4.581392513619522,4.633027350728412,4.431183055105291,4.464041709899902,140039787
2010-01-08,4.421794549375534,4.4311823031950786,4.351383541900137,4.426487922668457,120287154
2010-01-11,4.525063283833043,4.562616317070308,4.426488334244358,4.4687347412109375,111885457
2010-01-12,4.482817285872695,4.529758078085195,4.417100982562302,4.510981559753418,109894491
2010-01-13,4.398323736896975,4.440570140731937,4.365465758547687,4.393630027770996,146908126
2010-01-14,4.412405490875244,4.431182004482278,4.3607713374979395,4.412405490875244,114869907
2010-01-15,4.412405490875244,4.4358763846924445,4.3748534708948075,4.412405490875244,99999961
2010-01-18,4.384242038225672,4.407712936401367,4.360772147283795,4.407712936401367,95929074
2010-01-19,4.412406929212227,4.468735481161432,4.388937034978045,4.459347724914551,139158991
2010-01-20,4.468734229284933,4.48751074375258,4.318525135244793,4.332607269287109,125342035
2010-01-21,4.309137686413119,4.337301958684216,4.238727005735377,4.271584987640381,115765924
2010-01-22,4.219950630558164,4.219950630558164,4.088517019789867,4.149539947509766,151959405
2010-01-25,4.144846151952272,4.219951226895229,4.088517597553555,4.177704811096191,84496512
2010-01-26,4.16831740996105,4.191787307217619,4.036883769409268,4.0415778160095215,81804528
2010-01-27,4.041576818922373,4.083823563646759,3.9430018646362357,3.95238995552063,78460071
2010-01-28,3.938307466619195,3.9570839840523555,3.8491206035985885,3.924225330352783,75587836
2010-01-29,3.8960602283477788,3.947694716998292,3.853813828542813,3.8960602283477783,67756888
2010-02-01,3.8772848034993834,3.8866732299123994,3.7552396248100535,3.7740161418914795,86006514
2010-02-02,3.8303440236772577,4.14953905121786,3.8303440236772577,3.994635581970215,245753044
2010-02-03,4.018106471415596,4.111988056782646,3.9336136489255877,4.065047264099121,134201139
2010-02-04,4.018106310048265,4.027494736803636,3.9523900087176154,3.985248327255249,83908825
2010-02-05,3.830344235358673,3.891366481781006,3.7880978323200507,3.891366481781006,83821699
2010-02-08,3.896060526563075,3.92422479525549,3.86789625787066,3.891366481781006,42186642
2010-02-09,3.891366656964416,3.975859466845399,3.877284521984252,3.9336130619049072,44636169
2010-02-10,3.980554228173812,4.004024119640183,3.919531301680637,3.95238995552063,45700543
2010-02-11,3.9664723069327006,3.985248489719644,3.928919941358814,3.961777925491333,44649307
2010-02-12,4.004024222664402,4.0509650140387805,3.96647219390522,4.0368828773498535,76271805
2010-02-22,4.06974123348754,4.08382336914343,4.01341235511938,4.022800445556641,61719724
2010-02-23,3.9946365811131153,4.0040243367619555,3.9242255599174465,3.961777925491333,46783404
2010-02-24,3.9007550779632774,3.9899415969848637,3.9007550779632774,3.9899415969848633,51015867
2010-02-25,3.9758599492865487,4.041576922912829,3.9570841027792687,4.0368828773498535,100001217
2010-02-26,4.027494313867389,4.027494313867389,3.9852479087553925,3.9993300437927246,83838960
2010-03-01,4.0838231587268465,4.149539452657079,4.065046643075178,4.102598667144775,166557159
2010-03-02,4.107293684350245,4.107293684350245,4.004024343113608,4.02749490737915,95416795
2010-03-03,4.060352506259631,4.083823404042552,4.008718344158046,4.046270370483398,84220894
