,weight
601899.SS,0.40989945862335647
600547.SS,0.27068832173240526
600489.SS,0.09280742459396751
000975.SZ,0.06187161639597834
002155.SZ,0.06032482598607888
002273.SZ,0.07347254447022428
002237.SZ,0.03093580819798917
