entry_date,exit_date,direction,entry_level,exit_level,pnl_pct,reason,exit_reason,hold_days
2012-01-06,2012-01-09,LONG,98.37734212128001,103.11490056352942,4.816,signal_entry,signal_flip,3
2012-01-09,2012-01-10,SHORT,103.11490056352942,108.56302738633443,-5.284,signal_entry,stop_loss,1
2012-01-13,2012-01-16,LONG,108.7916067148763,104.16811467247314,-4.25,signal_entry,signal_flip,3
2012-01-16,2012-01-17,SHORT,104.16811467247314,113.28272275093738,-8.75,signal_entry,stop_loss,1
2012-01-19,2012-01-20,LONG,112.00760453164662,117.3688547034828,4.787,signal_entry,signal_flip,1
2012-01-20,2012-01-23,SHORT,117.3688547034828,117.3688547034828,-0.0,signal_entry,signal_flip,3
2012-01-24,2012-01-25,LONG,117.3688547034828,117.3688547034828,0.0,signal_entry,signal_flip,1
2012-01-25,2012-01-30,SHORT,117.3688547034828,118.67179726609635,-1.11,signal_entry,signal_flip,5
2012-02-03,2012-02-06,LONG,118.67179726609635,118.52672860572443,-0.122,signal_entry,signal_flip,3
2012-02-07,2012-02-08,SHORT,118.52672860572443,121.52288711058246,-2.528,signal_entry,signal_flip,1
2012-02-08,2012-02-09,LONG,121.52288711058246,120.74694015054814,-0.639,signal_entry,signal_flip,1
2012-02-09,2012-02-10,SHORT,120.74694015054814,120.13504903644237,0.507,signal_entry,signal_flip,1
2012-02-10,2012-02-13,LONG,120.13504903644237,120.76253264701266,0.522,signal_entry,signal_flip,3
2012-02-15,2012-02-16,SHORT,120.76253264701266,120.2462617415787,0.428,signal_entry,signal_flip,1
2012-02-17,2012-02-20,LONG,120.2462617415787,121.29262935958103,0.87,signal_entry,signal_flip,3
2012-02-21,2012-02-22,SHORT,121.29262935958103,122.95011544024979,-1.367,signal_entry,signal_flip,1
2012-02-24,2012-02-27,LONG,122.95011544024979,125.83822280025818,2.349,signal_entry,signal_flip,3
2012-02-28,2012-02-29,SHORT,125.83822280025818,126.45054270892048,-0.487,signal_entry,signal_flip,1
2012-02-29,2012-03-01,LONG,126.45054270892048,124.29544761860994,-1.704,signal_entry,signal_flip,1
2012-03-01,2012-03-02,SHORT,124.29544761860994,125.07450407287175,-0.627,signal_entry,signal_flip,1
2012-03-02,2012-03-05,LONG,125.07450407287175,124.46064741430992,-0.491,signal_entry,signal_flip,3
2012-03-07,2012-03-08,SHORT,124.46064741430992,120.65223837308699,3.06,signal_entry,signal_flip,1
2012-03-12,2012-03-13,LONG,120.65223837308699,122.36509888591586,1.42,signal_entry,signal_flip,1
2012-03-15,2012-03-16,SHORT,122.36509888591586,118.21597938922383,3.391,signal_entry,signal_flip,1
2012-03-16,2012-03-19,LONG,118.21597938922383,120.40148602900507,1.849,signal_entry,signal_flip,3
2012-03-19,2012-03-20,SHORT,120.40148602900507,118.41297261857864,1.652,signal_entry,signal_flip,1
2012-03-20,2012-03-21,LONG,118.41297261857864,120.05951531685947,1.391,signal_entry,signal_flip,1
2012-03-21,2012-03-22,SHORT,120.05951531685947,119.94392051248963,0.096,signal_entry,signal_flip,1
2012-03-22,2012-03-23,LONG,119.94392051248963,116.77157593491448,-2.645,signal_entry,signal_flip,1
